,age,status,sex,body_type,drinks,height,New_Pets,New_Job,New_Education,New_religion,New_sign,New_smokes,Cluster
19197,50.0,single,m,average,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Libra,No,1
19204,40.0,single,m,average,socially,187.96,Only_Cat,Active_working,High_School,other,Cancer,Yes,1
19205,27.0,single,m,athletic,socially,193.04,Likes_Boths,Active_working,Postgraduate_degree,atheism,Aquarius,No,4
19208,22.0,single,f,athletic,socially,167.64000000000001,Likes_Boths,Active_working,High_School,other,Aquarius,Yes,2
19213,50.0,married,m,average,socially,182.88,Only_Cat,Active_working,Postgraduate_degree,other,Gemini,No,1
19216,31.0,single,m,a_little_extra,socially,193.04,Only_Dog,Active_working,Graduate_Degree,agnosticism,Scorpio,No,4
19219,19.0,single,f,skinny,rarely,167.64000000000001,Likes_Boths,Student,Graduate_Degree,christianity,Scorpio,No,2
19223,21.0,seeing someone,m,athletic,socially,170.18,Only_Dog,Active_working,Graduate_Degree,other,Libra,No,3
19224,25.0,single,m,average,socially,170.18,Likes_Boths,Student,Graduate_Degree,judaism,Scorpio,Yes,3
19227,44.0,single,m,fit,socially,177.8,Only_Dog,Active_working,Graduate_Degree,other,Aquarius,No,1
19228,47.0,single,m,fit,socially,180.34,Likes_Boths,Active_working,Graduate_Degree,catholicism,Libra,Yes,1
19230,34.0,single,f,athletic,not at all,170.18,Likes_Boths,Active_working,Graduate_Degree,christianity,Libra,No,2
19232,31.0,single,m,thin,socially,172.72,Likes_Boths,Student,Postgraduate_degree,atheism,Capricorn,No,3
19233,43.0,single,f,fit,not at all,170.18,Only_Dog,Active_working,Graduate_Degree,other,Scorpio,No,0
19234,23.0,single,f,average,socially,154.94,Only_Dog,Student,Postgraduate_degree,buddhism,Gemini,No,2
19235,22.0,seeing someone,f,skinny,socially,167.64000000000001,Likes_Boths,Active_working,Graduate_Degree,other,Leo,Yes,2
19237,31.0,single,f,curvy,socially,165.1,Only_Dog,Active_working,Postgraduate_degree,atheism,Aquarius,No,2
19238,39.0,single,m,athletic,socially,182.88,Likes_Boths,Active_working,Postgraduate_degree,other,Libra,Yes,1
19239,22.0,single,f,thin,rarely,160.02,Likes_Boths,Student,Graduate_Degree,christianity,Aries,No,2
19240,22.0,single,f,full_figured,socially,162.56,Likes_Boths,Active_working,High_School,other,Sagittarius,Yes,2
19241,28.0,single,m,average,socially,182.88,Likes_Boths,Active_working,Graduate_Degree,other,Aries,No,4
19242,34.0,single,f,thin,socially,167.64000000000001,Likes_Boths,Active_working,Postgraduate_degree,agnosticism,Leo,No,2
19245,29.0,single,m,fit,socially,175.26,Only_Dog,Active_working,Graduate_Degree,buddhism,Libra,No,3
19246,22.0,single,m,average,socially,180.34,Likes_Boths,Active_working,High_School,christianity,Leo,Yes,3
19251,26.0,single,m,average,socially,180.34,Only_Dog,Active_working,Postgraduate_degree,agnosticism,Pisces,No,3
19252,37.0,single,m,fit,socially,175.26,Only_Dog,Active_working,Graduate_Degree,other,Sagittarius,No,1
19254,23.0,single,m,a_little_extra,socially,180.34,Likes_Boths,Active_working,Graduate_Degree,christianity,Capricorn,No,4
19257,43.0,single,f,average,socially,162.56,Likes_Boths,Active_working,High_School,christianity,Leo,Yes,0
19259,29.0,single,m,athletic,socially,177.8,Only_Dog,Active_working,Graduate_Degree,christianity,Sagittarius,No,4
19261,20.0,single,m,skinny,rarely,172.72,Only_Cat,Active_working,Graduate_Degree,christianity,Pisces,No,3
19263,26.0,single,m,used_up,socially,167.64000000000001,Likes_Boths,Active_working,High_School,atheism,Cancer,No,3
19267,29.0,single,f,fit,rarely,165.1,Likes_Boths,Active_working,Graduate_Degree,other,Aries,No,2
19271,42.0,single,m,average,socially,182.88,Only_Dog,Active_working,Postgraduate_degree,other,Taurus,No,1
19276,42.0,single,m,athletic,socially,170.18,Only_Dog,Active_working,Graduate_Degree,catholicism,Pisces,No,1
19277,41.0,single,m,average,not at all,182.88,Likes_Boths,Active_working,Postgraduate_degree,other,Pisces,No,1
19280,23.0,single,m,overweight,socially,170.18,Likes_Boths,Active_working,Graduate_Degree,atheism,Libra,No,3
19283,20.0,single,m,average,socially,172.72,Only_Dog,Active_working,High_School,atheism,Taurus,Yes,3
19286,30.0,single,m,fit,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Sagittarius,No,3
19288,45.0,single,m,athletic,rarely,185.42000000000002,Likes_Boths,Active_working,Postgraduate_degree,other,Libra,No,1
19293,20.0,single,f,curvy,rarely,180.34,Likes_Boths,Active_working,Graduate_Degree,other,Aquarius,Yes,4
19299,39.0,single,m,athletic,socially,182.88,Only_Dog,Active_working,Graduate_Degree,catholicism,Sagittarius,No,1
19305,18.0,single,m,athletic,not at all,165.1,Only_Dog,Student,Graduate_Degree,agnosticism,Capricorn,No,2
19307,26.0,single,m,athletic,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,catholicism,Cancer,No,4
19315,43.0,single,f,average,socially,170.18,Likes_Boths,Active_working,High_School,other,Capricorn,Yes,0
19318,24.0,single,m,athletic,socially,187.96,Only_Dog,Active_working,Graduate_Degree,christianity,Pisces,No,4
19319,33.0,single,m,overweight,socially,172.72,Likes_Boths,Active_working,Graduate_Degree,catholicism,Sagittarius,No,3
19320,33.0,single,m,average,socially,182.88,Only_Dog,Active_working,Postgraduate_degree,agnosticism,Cancer,Yes,3
19324,22.0,single,m,athletic,socially,165.1,Only_Dog,Active_working,High_School,christianity,Capricorn,Yes,2
19328,29.0,single,f,curvy,socially,162.56,Only_Dog,Active_working,Graduate_Degree,agnosticism,Pisces,No,2
19334,39.0,single,f,average,socially,157.48,Likes_Boths,Active_working,Graduate_Degree,other,Scorpio,No,0
19335,40.0,single,f,average,socially,157.48,Only_Dog,Active_working,Graduate_Degree,catholicism,Sagittarius,No,0
19337,29.0,single,f,athletic,socially,165.1,Likes_Boths,Active_working,Postgraduate_degree,judaism,Pisces,No,2
19342,33.0,single,m,used_up,often,180.34,Likes_Boths,Active_working,High_School,agnosticism,Libra,No,3
19345,36.0,single,m,average,socially,165.1,Likes_Boths,Active_working,Graduate_Degree,catholicism,Virgo,No,2
19348,37.0,single,m,athletic,socially,170.18,Likes_Boths,Active_working,Graduate_Degree,buddhism,Aquarius,No,3
19350,33.0,single,f,thin,socially,165.1,Only_Dog,Active_working,Postgraduate_degree,atheism,Gemini,No,2
19351,26.0,single,m,fit,socially,177.8,Likes_Boths,Active_working,Postgraduate_degree,other,Leo,No,3
19352,61.0,single,m,average,socially,185.42000000000002,Likes_Boths,Active_working,Graduate_Degree,catholicism,Virgo,No,1
19353,27.0,single,f,average,socially,170.18,Only_Dog,Active_working,Graduate_Degree,other,Gemini,No,2
19355,31.0,single,m,fit,socially,177.8,Likes_Boths,Active_working,Postgraduate_degree,buddhism,Taurus,No,3
19363,64.0,single,m,average,socially,177.8,Likes_Boths,Active_working,High_School,agnosticism,Pisces,No,1
19364,28.0,single,m,a_little_extra,rarely,180.34,Likes_Boths,Student,Graduate_Degree,other,Leo,No,4
19365,27.0,single,m,average,socially,172.72,Likes_Boths,Active_working,High_School,other,Scorpio,Yes,3
19369,50.0,single,m,average,socially,185.42000000000002,Likes_Boths,Active_working,Graduate_Degree,other,Aries,No,1
19371,23.0,single,m,athletic,rarely,167.64000000000001,Likes_Boths,Student,Graduate_Degree,agnosticism,Leo,No,3
19374,42.0,single,f,thin,socially,157.48,Only_Cat,Active_working,Postgraduate_degree,atheism,Libra,No,0
19375,55.0,single,f,average,socially,170.18,Only_Dog,Active_working,Postgraduate_degree,other,Cancer,No,0
19377,33.0,single,m,thin,socially,185.42000000000002,Likes_Boths,Active_working,Graduate_Degree,atheism,Scorpio,No,4
19379,33.0,seeing someone,m,fit,socially,170.18,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Sagittarius,No,3
19380,24.0,single,m,average,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,atheism,Pisces,No,4
19381,23.0,single,m,athletic,often,170.18,Likes_Boths,Student,Graduate_Degree,other,Pisces,Yes,3
19385,56.0,single,f,athletic,rarely,157.48,Only_Cat,Active_working,Graduate_Degree,other,Capricorn,No,0
19392,25.0,single,m,thin,socially,187.96,Only_Dog,Active_working,Postgraduate_degree,atheism,Scorpio,Yes,4
19393,35.0,single,f,fit,socially,162.56,Likes_Boths,Active_working,Postgraduate_degree,judaism,Gemini,No,2
19394,25.0,available,f,curvy,not at all,160.02,Only_Dog,Active_working,Graduate_Degree,judaism,Leo,No,2
19400,23.0,seeing someone,f,skinny,often,165.1,Likes_Boths,Active_working,Graduate_Degree,buddhism,Libra,Yes,2
19401,29.0,single,f,full_figured,socially,170.18,Likes_Boths,Active_working,Graduate_Degree,atheism,Libra,No,2
19404,30.0,single,m,athletic,socially,175.26,Likes_Boths,Active_working,Graduate_Degree,christianity,Leo,No,3
19405,33.0,available,m,average,socially,193.04,Likes_Boths,Active_working,Graduate_Degree,atheism,Gemini,No,4
19407,28.0,single,m,fit,socially,177.8,Likes_Boths,Active_working,High_School,other,Cancer,Yes,3
19408,29.0,single,m,average,socially,187.96,Only_Cat,Active_working,Graduate_Degree,agnosticism,Pisces,Yes,4
19410,33.0,single,m,fit,not at all,182.88,Likes_Boths,Active_working,Graduate_Degree,atheism,Cancer,Yes,4
19413,31.0,single,f,curvy,socially,167.64000000000001,Only_Dog,Active_working,Graduate_Degree,buddhism,Capricorn,Yes,2
19415,45.0,single,f,average,socially,152.4,Only_Dog,Active_working,Graduate_Degree,other,Aquarius,No,0
19417,37.0,single,f,thin,socially,170.18,Only_Dog,Active_working,Graduate_Degree,agnosticism,Leo,No,2
19420,25.0,single,m,thin,socially,167.64000000000001,Only_Dog,Active_working,Graduate_Degree,atheism,Leo,No,3
19421,30.0,single,m,fit,socially,180.34,Only_Dog,Active_working,Graduate_Degree,agnosticism,Gemini,No,3
19427,29.0,single,f,a_little_extra,socially,167.64000000000001,Likes_Boths,Student,Graduate_Degree,catholicism,Pisces,No,2
19429,28.0,single,f,average,socially,160.02,Only_Dog,Active_working,Graduate_Degree,other,Scorpio,Yes,2
19432,33.0,single,f,thin,socially,165.1,Likes_Boths,Active_working,Postgraduate_degree,catholicism,Capricorn,No,2
19433,38.0,single,f,athletic,socially,177.8,Likes_Boths,Active_working,Postgraduate_degree,agnosticism,Taurus,No,3
19434,62.0,single,f,overweight,often,160.02,Likes_Boths,Active_working,High_School,catholicism,Aries,No,0
19441,33.0,single,m,average,socially,177.8,Likes_Boths,Active_working,Postgraduate_degree,christianity,Gemini,No,3
19446,32.0,single,f,athletic,socially,170.18,Likes_Boths,Active_working,Graduate_Degree,christianity,Leo,No,2
19447,55.0,single,m,fit,socially,182.88,Only_Dog,Active_working,Graduate_Degree,agnosticism,Capricorn,No,1
19449,36.0,single,m,fit,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,judaism,Leo,No,1
19451,22.0,single,m,athletic,often,180.34,Likes_Boths,Active_working,Graduate_Degree,buddhism,Taurus,Yes,4
19452,28.0,single,m,average,socially,190.5,Only_Cat,Active_working,Graduate_Degree,other,Virgo,No,4
19462,26.0,single,f,a_little_extra,often,152.4,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Virgo,Yes,2
19465,25.0,single,m,fit,socially,175.26,Likes_Boths,Active_working,High_School,atheism,Leo,No,3
19466,25.0,single,m,thin,socially,172.72,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Aquarius,Yes,3
19467,25.0,single,f,thin,socially,165.1,Only_Dog,Active_working,Graduate_Degree,catholicism,Virgo,No,2
19468,24.0,single,m,a_little_extra,not at all,177.8,Likes_Boths,Active_working,High_School,christianity,Gemini,No,3
19472,29.0,single,m,athletic,socially,177.8,Only_Dog,Active_working,Postgraduate_degree,catholicism,Virgo,No,4
19480,27.0,single,m,thin,socially,180.34,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Virgo,No,3
19488,41.0,single,m,athletic,socially,167.64000000000001,Only_Dog,Active_working,Graduate_Degree,catholicism,Pisces,No,0
19492,22.0,single,m,athletic,socially,185.42000000000002,Only_Dog,Active_working,High_School,christianity,Gemini,Yes,4
19494,31.0,single,m,athletic,socially,185.42000000000002,Likes_Boths,Active_working,Postgraduate_degree,agnosticism,Virgo,No,4
19496,30.0,single,m,average,rarely,167.64000000000001,Likes_Boths,Active_working,Postgraduate_degree,catholicism,Pisces,No,3
19497,32.0,single,f,average,socially,165.1,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Cancer,No,2
19498,18.0,single,f,curvy,socially,160.02,Likes_Boths,Student,High_School,christianity,Cancer,No,2
19501,25.0,single,m,average,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,atheism,Scorpio,No,3
19503,38.0,single,m,average,not at all,182.88,Likes_Boths,Active_working,Postgraduate_degree,agnosticism,Aquarius,No,1
19505,25.0,single,m,average,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,catholicism,Capricorn,No,3
19511,28.0,single,m,average,socially,187.96,Only_Dog,Active_working,Graduate_Degree,catholicism,Gemini,No,4
19512,36.0,single,f,average,socially,162.56,Only_Dog,Active_working,Graduate_Degree,agnosticism,Capricorn,No,2
19513,22.0,single,m,athletic,not at all,187.96,Likes_Boths,Active_working,Graduate_Degree,christianity,Gemini,No,4
19514,23.0,single,m,fit,socially,177.8,Likes_Boths,Active_working,Postgraduate_degree,atheism,Libra,No,4
19517,49.0,single,m,fit,not at all,185.42000000000002,Likes_Boths,Active_working,Postgraduate_degree,other,Leo,No,1
19518,23.0,single,m,average,not at all,177.8,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Virgo,No,3
19523,35.0,single,m,fit,socially,167.64000000000001,Likes_Boths,Active_working,Graduate_Degree,judaism,Capricorn,No,3
19532,39.0,single,m,used_up,socially,180.34,Likes_Boths,Active_working,Graduate_Degree,other,Sagittarius,Yes,1
19534,43.0,seeing someone,m,full_figured,socially,185.42000000000002,Likes_Boths,Active_working,Graduate_Degree,other,Leo,No,1
19536,34.0,single,m,athletic,socially,177.8,Only_Dog,Active_working,Postgraduate_degree,judaism,Cancer,No,4
19540,24.0,single,m,average,socially,175.26,Only_Dog,Student,Graduate_Degree,christianity,Libra,Yes,3
19543,30.0,single,m,fit,socially,170.18,Only_Dog,Active_working,Graduate_Degree,other,Virgo,Yes,3
19546,56.0,single,m,athletic,socially,182.88,Likes_Boths,Active_working,Postgraduate_degree,catholicism,Gemini,No,1
19548,36.0,single,m,average,socially,180.34,Likes_Boths,Active_working,Graduate_Degree,other,Scorpio,No,3
19549,23.0,single,m,average,rarely,167.64000000000001,Only_Dog,Student,Graduate_Degree,other,Libra,No,3
19551,23.0,single,m,fit,socially,182.88,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Aries,No,4
19554,27.0,single,m,average,rarely,167.64000000000001,Likes_Boths,Active_working,High_School,atheism,Gemini,No,2
19557,24.0,single,m,average,socially,180.34,Only_Cat,Student,Postgraduate_degree,other,Leo,No,3
19563,31.0,single,m,athletic,rarely,199.39,Likes_Boths,Active_working,Graduate_Degree,atheism,Pisces,No,4
19564,30.0,single,m,thin,often,187.96,Likes_Boths,Active_working,Graduate_Degree,buddhism,Capricorn,No,4
19565,60.0,single,m,fit,often,182.88,Likes_Boths,Active_working,Postgraduate_degree,atheism,Virgo,No,1
19567,44.0,single,m,fit,socially,187.96,Only_Dog,Active_working,Postgraduate_degree,buddhism,Pisces,No,1
19568,40.0,single,f,fit,socially,165.1,Only_Dog,Active_working,Graduate_Degree,catholicism,Aries,No,0
19572,31.0,single,m,average,not at all,162.56,Only_Dog,Active_working,Graduate_Degree,christianity,Taurus,No,2
19579,25.0,single,f,thin,often,165.1,Only_Cat,Active_working,Graduate_Degree,agnosticism,Taurus,Yes,2
19583,36.0,single,f,overweight,socially,177.8,Only_Cat,Active_working,Graduate_Degree,christianity,Sagittarius,No,3
19587,42.0,single,m,average,rarely,175.26,Only_Dog,Active_working,Postgraduate_degree,islam,Aquarius,No,1
19588,30.0,single,m,fit,socially,177.8,Likes_Boths,Active_working,Postgraduate_degree,other,Gemini,No,3
19594,43.0,single,m,athletic,not at all,199.39,Only_Dog,Active_working,Graduate_Degree,buddhism,Cancer,No,1
19597,23.0,single,m,a_little_extra,socially,180.34,Likes_Boths,Student,Graduate_Degree,atheism,Aquarius,Yes,4
19602,31.0,single,m,athletic,rarely,180.34,Only_Cat,Active_working,Graduate_Degree,judaism,Leo,No,4
19606,26.0,single,m,average,socially,195.58,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Leo,Yes,4
19607,23.0,single,m,athletic,socially,157.48,Only_Dog,Active_working,Graduate_Degree,buddhism,Pisces,No,2
19608,28.0,single,m,fit,socially,170.18,Likes_Boths,Active_working,Graduate_Degree,atheism,Scorpio,No,3
19613,20.0,single,f,fit,socially,160.02,Only_Dog,Active_working,Graduate_Degree,other,Cancer,No,2
19614,37.0,single,f,athletic,socially,157.48,Likes_Boths,Active_working,Postgraduate_degree,judaism,Gemini,No,2
19615,27.0,single,m,athletic,socially,165.1,Only_Dog,Active_working,Graduate_Degree,catholicism,Pisces,No,2
19619,43.0,single,m,athletic,socially,172.72,Likes_Boths,Active_working,Graduate_Degree,christianity,Cancer,No,1
19620,25.0,single,m,fit,often,180.34,Likes_Boths,Student,Graduate_Degree,other,Scorpio,No,3
19623,46.0,single,m,athletic,socially,187.96,Only_Cat,Active_working,Postgraduate_degree,agnosticism,Cancer,No,1
19627,46.0,single,f,athletic,socially,172.72,Only_Dog,Active_working,Graduate_Degree,atheism,Libra,No,0
19629,41.0,single,m,average,socially,170.18,Likes_Boths,Active_working,Graduate_Degree,judaism,Leo,No,0
19630,25.0,single,m,a_little_extra,often,172.72,Likes_Boths,Active_working,Graduate_Degree,atheism,Aquarius,No,3
19634,28.0,single,m,athletic,rarely,172.72,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Gemini,No,3
19636,40.0,available,m,fit,socially,182.88,Likes_Boths,Active_working,High_School,atheism,Pisces,No,1
19637,30.0,seeing someone,m,used_up,often,193.04,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Scorpio,No,4
19639,46.0,single,f,curvy,socially,162.56,Likes_Boths,Active_working,Graduate_Degree,christianity,Virgo,No,0
19650,36.0,single,m,athletic,often,175.26,Likes_Boths,Active_working,Postgraduate_degree,catholicism,Virgo,No,3
19652,36.0,single,f,average,socially,157.48,Only_Dog,Active_working,Postgraduate_degree,other,Virgo,No,2
19654,38.0,single,m,fit,often,185.42000000000002,Likes_Boths,Active_working,Graduate_Degree,other,Gemini,Yes,1
19655,51.0,single,m,fit,rarely,172.72,Only_Cat,Active_working,Postgraduate_degree,catholicism,Aquarius,No,1
19657,45.0,single,m,athletic,not at all,172.72,Likes_Boths,Active_working,Graduate_Degree,other,Cancer,No,1
19664,34.0,single,m,athletic,socially,193.04,Likes_Boths,Active_working,Graduate_Degree,other,Leo,No,4
19669,34.0,single,m,athletic,socially,185.42000000000002,Only_Dog,Active_working,Graduate_Degree,other,Sagittarius,No,4
19679,40.0,single,f,curvy,socially,157.48,Likes_Boths,Active_working,Graduate_Degree,other,Sagittarius,Yes,0
19682,30.0,single,f,full_figured,socially,167.64000000000001,Likes_Boths,Active_working,Graduate_Degree,christianity,Capricorn,No,2
19685,31.0,single,f,athletic,not at all,177.8,Only_Dog,Active_working,Graduate_Degree,other,Gemini,Yes,4
19688,39.0,single,m,average,often,180.34,Only_Dog,Active_working,High_School,other,Taurus,No,1
19689,24.0,single,f,curvy,socially,165.1,Likes_Boths,Active_working,Graduate_Degree,other,Sagittarius,No,2
19693,28.0,single,f,athletic,socially,167.64000000000001,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Sagittarius,Yes,2
19699,34.0,single,m,athletic,socially,185.42000000000002,Likes_Boths,Active_working,Graduate_Degree,catholicism,Pisces,No,4
19702,47.0,single,f,fit,socially,157.48,Likes_Boths,Active_working,Postgraduate_degree,buddhism,Scorpio,No,0
19703,34.0,single,m,athletic,socially,193.04,Likes_Boths,Active_working,Postgraduate_degree,atheism,Aquarius,No,4
19704,45.0,single,m,athletic,rarely,187.96,Only_Dog,Active_working,Graduate_Degree,other,Leo,No,1
19708,24.0,single,f,thin,socially,172.72,Likes_Boths,Active_working,Graduate_Degree,other,Sagittarius,No,3
19710,37.0,single,m,average,often,182.88,Only_Dog,Active_working,High_School,agnosticism,Capricorn,Yes,3
19711,23.0,single,f,athletic,socially,170.18,Only_Dog,Active_working,Graduate_Degree,catholicism,Gemini,Yes,2
19712,45.0,single,f,a_little_extra,socially,167.64000000000001,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Leo,Yes,0
19714,18.0,single,m,athletic,socially,175.26,Likes_Boths,Student,High_School,other,Libra,No,3
19719,28.0,single,m,athletic,socially,193.04,Likes_Boths,Active_working,Graduate_Degree,other,Leo,No,4
19720,22.0,single,f,athletic,socially,170.18,Only_Dog,Student,Graduate_Degree,agnosticism,Taurus,No,2
19723,29.0,single,m,rather_not_say,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,catholicism,Libra,No,3
19726,29.0,single,m,thin,socially,172.72,Likes_Boths,Active_working,Graduate_Degree,buddhism,Scorpio,Yes,3
19729,46.0,single,f,overweight,not at all,172.72,Likes_Boths,Active_working,Postgraduate_degree,atheism,Gemini,No,0
19735,32.0,single,m,average,very often,172.72,Only_Dog,Active_working,Graduate_Degree,buddhism,Gemini,Yes,3
19739,35.0,single,m,athletic,desperately,193.04,Only_Cat,Active_working,Graduate_Degree,buddhism,Cancer,No,4
19740,32.0,single,f,curvy,socially,170.18,Likes_Boths,Active_working,Postgraduate_degree,other,Sagittarius,Yes,2
19750,35.0,single,m,fit,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Cancer,No,3
19752,38.0,single,f,curvy,socially,167.64000000000001,Only_Dog,Active_working,Graduate_Degree,catholicism,Scorpio,No,2
19753,32.0,single,m,fit,socially,182.88,Only_Dog,Active_working,Graduate_Degree,catholicism,Taurus,No,4
19755,22.0,single,f,curvy,socially,165.1,Likes_Boths,Retired,Graduate_Degree,agnosticism,Pisces,No,2
19756,38.0,single,f,curvy,socially,172.72,Likes_Boths,Active_working,Graduate_Degree,christianity,Taurus,No,3
19762,44.0,single,m,average,socially,193.04,Likes_Boths,Active_working,Graduate_Degree,christianity,Pisces,No,1
19763,23.0,single,m,athletic,rarely,177.8,Likes_Boths,Active_working,High_School,other,Aquarius,Yes,4
19766,49.0,single,m,athletic,socially,187.96,Likes_Boths,Active_working,Graduate_Degree,other,Aquarius,No,1
19773,37.0,single,m,fit,socially,193.04,Likes_Boths,Active_working,Graduate_Degree,other,Cancer,No,1
19775,68.0,single,f,fit,socially,165.1,Likes_Boths,Active_working,Graduate_Degree,other,Gemini,No,0
19781,57.0,single,m,athletic,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,other,Sagittarius,No,1
19784,63.0,single,m,average,socially,187.96,Likes_Boths,Active_working,Postgraduate_degree,other,Pisces,No,1
19787,32.0,single,m,athletic,socially,170.18,Likes_Boths,Active_working,Graduate_Degree,buddhism,Leo,No,3
19789,23.0,single,m,average,socially,185.42000000000002,Only_Cat,Active_working,High_School,other,Libra,No,4
19790,44.0,single,m,fit,rarely,187.96,Likes_Boths,Active_working,Postgraduate_degree,catholicism,Libra,No,1
19797,35.0,single,f,fit,socially,165.1,Likes_Boths,Active_working,Graduate_Degree,atheism,Sagittarius,No,2
19798,56.0,single,m,average,often,175.26,Only_Dog,Active_working,Graduate_Degree,other,Virgo,No,1
19805,36.0,single,f,fit,socially,157.48,Only_Dog,Active_working,Postgraduate_degree,other,Aquarius,No,2
19808,29.0,single,f,fit,socially,165.1,Only_Dog,Active_working,Graduate_Degree,catholicism,Sagittarius,No,2
19809,24.0,single,m,skinny,socially,185.42000000000002,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Aquarius,No,4
19810,29.0,single,m,average,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Scorpio,No,3
19813,45.0,single,m,average,rarely,187.96,Likes_Boths,Active_working,Graduate_Degree,other,Libra,No,1
19814,27.0,single,m,average,socially,162.56,Only_Dog,Student,Postgraduate_degree,judaism,Libra,Yes,2
19816,41.0,single,m,average,desperately,182.88,Likes_Boths,Active_working,High_School,other,Virgo,No,1
19817,50.0,single,f,skinny,socially,160.02,Only_Dog,Active_working,Graduate_Degree,other,Virgo,No,0
19820,33.0,single,m,athletic,socially,182.88,Likes_Boths,Active_working,Graduate_Degree,atheism,Cancer,No,4
19821,62.0,single,f,average,socially,172.72,Likes_Boths,Active_working,Graduate_Degree,christianity,Gemini,No,0
19824,29.0,single,f,fit,socially,165.1,Likes_Boths,Active_working,Postgraduate_degree,atheism,Aries,Yes,2
19825,38.0,single,f,average,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,other,Aquarius,No,1
19826,30.0,single,m,thin,socially,187.96,Only_Dog,Student,Postgraduate_degree,catholicism,Taurus,No,4
19828,41.0,single,f,average,socially,162.56,Likes_Boths,Active_working,High_School,other,Taurus,No,0
19830,26.0,seeing someone,f,thin,not at all,162.56,Only_Cat,Active_working,Graduate_Degree,atheism,Scorpio,No,2
19832,32.0,single,m,athletic,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,catholicism,Aquarius,Yes,4
19833,29.0,single,f,curvy,socially,170.18,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Scorpio,No,3
19835,45.0,single,m,athletic,socially,180.34,Only_Dog,Active_working,Graduate_Degree,other,Aquarius,No,1
19839,32.0,single,f,fit,socially,154.94,Likes_Boths,Active_working,Postgraduate_degree,agnosticism,Cancer,No,2
19841,29.0,single,f,skinny,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,other,Cancer,Yes,3
19844,22.0,single,f,curvy,socially,170.18,Only_Dog,Active_working,Graduate_Degree,other,Taurus,No,2
19847,26.0,single,m,average,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,catholicism,Aries,No,3
19851,31.0,single,m,a_little_extra,socially,193.04,Likes_Boths,Active_working,Graduate_Degree,catholicism,Leo,No,4
19852,39.0,single,f,thin,socially,157.48,Only_Dog,Active_working,Graduate_Degree,judaism,Pisces,No,2
19854,42.0,single,m,average,socially,190.5,Only_Cat,Active_working,Postgraduate_degree,agnosticism,Virgo,No,1
19856,28.0,single,m,average,socially,175.26,Likes_Boths,Active_working,High_School,catholicism,Aquarius,No,3
19861,56.0,single,f,fit,socially,167.64000000000001,Likes_Boths,Active_working,Graduate_Degree,christianity,Leo,No,0
19862,30.0,seeing someone,f,fit,socially,167.64000000000001,Only_Dog,Active_working,Postgraduate_degree,atheism,Taurus,No,2
19863,31.0,available,f,full_figured,rarely,160.02,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Aquarius,No,2
19864,26.0,single,f,curvy,socially,172.72,Likes_Boths,Active_working,High_School,agnosticism,Scorpio,No,3
19865,38.0,single,f,thin,socially,170.18,Only_Dog,Active_working,Postgraduate_degree,agnosticism,Gemini,No,2
19869,38.0,single,m,athletic,socially,177.8,Likes_Boths,Active_working,Postgraduate_degree,agnosticism,Capricorn,No,3
19878,32.0,single,m,average,socially,182.88,Likes_Boths,Active_working,Graduate_Degree,judaism,Taurus,No,4
19883,35.0,single,m,average,socially,162.56,Only_Cat,Active_working,Graduate_Degree,agnosticism,Scorpio,No,2
19884,38.0,single,m,fit,not at all,172.72,Only_Dog,Active_working,Graduate_Degree,christianity,Virgo,No,1
19886,43.0,single,f,fit,socially,152.4,Likes_Boths,Active_working,Graduate_Degree,catholicism,Scorpio,Yes,0
19887,26.0,single,f,fit,socially,167.64000000000001,Only_Dog,Active_working,Graduate_Degree,christianity,Aquarius,Yes,2
