Song,Artist(s),Lyrics
Wild West,Dennis Lloyd,feel like feel like feel like feel like feel like feel like feel like feel like feel like feel like nobody know feel like uh nobody girl nobody girl nobody know feel like uh nobody girl nobody girl cause feel like losing mind losing control know love feel like ready give ready love know want gave word showed world understand fucked every minute tried minute lied minute hide fucked baby feel like feel like feel like feel like feel like feel like feel like feel like feel like feel like nobody know feel like uh nobody girl nobody girl nobody know feel like uh nobody girl nobody girl cause feel like losing mind losing control know love feel like ready give ready love know want gave word showed world understand fucked every minute tried minute lied minute hide fucked baby feel like feel like feel like feel like feel like feel like feel like feel like feel like feel like feel like feel like feel like feel like feel like feel like feel like feel like feel like feel like
Moods,Jojo Effect,trying hard get feeling back mind succeed survive day grey cold outside try lean back relax fantasy get awake feelin sand soft running toe tiny drop ocean land face sun tickle nose wind stripe skin coldness feel come drink right hand think anything brings succeed survive want stay till sun say goodbye think bout night take care happen next day trying hard get feeling back mind succeed survive day grey cold outside try lean back relax fantasy get awake
Close to My Fire,Slackwax,aaw aaaw strike match set fire watch burn flame gettin higher light sweet ole desire come close fire verse baby cold gone make wait wait long whenever near high fever making weak believer strike match set fire watch burn flame gettin higher light sweet ole desire come close fire verse boy tempting delusion meltin resolution escape say trying say name hide come sugar slow stop craving til come around deny right home ember waitin know want need tell boy need tell boy know
Run boy run,Woodkid,run boy run world made run boy run trying catch run boy run running victory run boy run beauty lie behind hill run boy run sun guiding run boy run dying stop run boy run race prophecy run boy run break society tomorrow another day hey hide away man boy time run time run run boy run ride journey run boy run secret inside run boy run race prophecy run boy run disappear tree tomorrow another day hey hide away man boy time run time run tomorrow another day hey night fade away man boy time run time run
Lift Me Up - Single Edit,Hooverphonic,lift floor time waiting thought crazy waiting night time gazing something amazing without realizing kept warm got cold foot kept awake fallin asleep made strong feelin weak whenever going save ground lift floor gravity pulling hard make long take higher lift floor gravity pulling hard make long time walking without belonging fata morgana misguiding time fighting windmill demon strangest creature saved worst enemy kept away worst version made see incomplete whenever going save ground lift floor gravity pulling hard make long take higher lift floor gravity pulling hard make long
Familiar,Agnes Obel,walk water blood running cold outside familiar true life walk water keep eye road live familiar without glow gate gold true life love ghost others see danger every shade u fade keep dark love gonna death danger cause love ghost others see took walk summit night burn hole old grip familiar true life dark opening wide die mask vermillion ruling eye love ghost others see danger every shade u fade keep dark gonna death danger cause love ghost others see
Losing My Religion,R.E.M.,life bigger bigger length go distance eye said much set corner spot light losing religion trying keep know said much said enough thought heard laughing thought heard sing think thought saw try every whisper every waking hour choosing confession trying keep eye like hurt lost blinded fool fool said much set consider consider hint century consider slip brought knee failed fantasy come flailing around said much thought heard laughing thought heard sing think thought saw try dream dream corner spot light losing religion trying keep know said much said enough thought heard laughing thought heard sing think thought saw try dream try cry fly try dream dream dream dream
Don't Cry,Guns N' Roses,talk softly something eye hang head sorrow please cry know feel inside somethin changin inside know cry tonight still love baby cry tonight cry tonight heaven baby cry tonight give whisper give sigh give kiss tell goodbye take hard please take bad still thinkin time baby cry tonight cry tonight cry tonight heaven baby cry tonight please remember never lied please remember felt inside honey gotta make way alright sugar feel better tomorrow come morning light baby cry tonight cry tonight cry tonight heaven baby cry ever cry cry cry cry tonight baby maybe someday cry ever cry cry cry cry tonight
I Still Haven't Found What I'm Looking For ,U2,climbed highest mountain run field run crawled scaled city wall city wall still found looking still found looking kissed honey lip felt healing fingertip burned like fire burning desire spoke tongue angel held hand devil warm night cold stone still found looking still found looking believe kingdom come color bleed one bleed one yes still running broke bond loosed chain carried cross shame shame know believe still found looking still found looking still found looking still found looking
Respect,Aretha Franklin,want baby got need know got askin little respect get home little bit hey baby little bit get home little bit mister little bit gon wrong gone gon wrong cause wanna askin little respect come home little bit baby little bit get home little bit little bit give money askin return honey give propers get home baby get home little bit little bit kiss sweeter honey guess money want give get home baby whip respect little bit get home little bit r e p e c find mean r e p e c take care tcb little respect sock sock sock sock whoa babe little respect little bit get tired little bit keep tryin little bit runnin fool little bit lyin little bit start come home respect might walk little bit find gone little bit gotta
I Will Always Love You,Whitney Houston,stay would way go know think every step way always love always love darling mm mm bittersweet memory taking goodbye please cry know need always love always love hope life treat kind hope dreamed wish joy happiness wish love always love always love always love always love always love always love darling love always always love
Somebody That I Used to Know,Gotye,think together like said felt happy could die told right felt lonely company love ache still remember get addicted certain kind sadness like resignation end always end found could make sense well said would still friend admit glad cut make like never happened nothing even need love treat like stranger feel rough stoop low friend collect record change number guess need though somebody used know think time screwed believing always something done wanna live way reading every word say said could let go catch hung somebody used know cut make like never happened nothing even need love treat like stranger feel rough stoop low friend collect record change number guess need though somebody used know somebody used know somebody somebody used know somebody used know somebody somebody used know used know used know used know somebody
Another Day in Paradise,Phil Collins,call man street sir help cold nowhere sleep somewhere tell walk look back pretend hear start whistle cross street seems embarrassed think twice cause another day paradise think twice cause another day paradise think call man street see cry got blister sol foot walk trying think twice cause another day paradise think twice another day paradise think lord nothing anybody lord must something say tell line face see probably moved every place cause fit think twice cause another day paradise think twice another day paradise think mhm think another day paradise another day paradise para paradise paradise think paradise think para paradise paradise mhm paradise paradise another day
It's My Life,Bon Jovi,song broken hearted silent prayer faith departed gonna face crowd gonna hear voice shout loud life never gonna live forever want live alive life heart like open highway like frankie said way want live alive life one stood ground tommy gina never backed tomorrow getting harder make mistake luck even lucky got make break life never gonna live forever want live alive life heart like open highway like frankie said way want live alive cause life better stand tall calling bend break baby back life never cause gonna live forever want live alive life heart like open highway like frankie said way want live alive never gonna live forever want live alive life heart like open highway like frankie said way want live alive cause life
Wanted Dead or Alive,Bon Jovi,name change every day seems wastin away another place face cold drive night get back home cowboy steel horse ride wanted dead alive wanted dead alive sometimes sleep sometimes day people meet always go separate way sometimes tell day bottle drink time alone well think cowboy steel horse ride wanted wanted dead alive wanted wanted dead alive ride cowboy steel horse ride wanted wanted dead alive walk street loaded six string back play keep cause might make back everywhere still standing tall seen million face rocked cause cowboy steel horse ride wanted wanted dead alive cause cowboy got night side wanted wanted dead alive ride ride dead alive still drive still drive dead alive dead alive dead alive dead alive dead alive
Wind Of Change,Scorpions,follow moskva gorky park listening wind change august summer night soldier passing listening wind change world closing ever think could close like brother future air feel everywhere blowing wind change take magic moment glory night child tomorrow dream away wind change walking street distant memory buried past forever follow moskva gorky park listening wind change take magic moment glory night child tomorrow share dream take magic moment glory night child tomorrow dream away wind change wind change blow straight face time like storm wind ring freedom bell peace mind let balalaika sing guitar want say take magic moment glory night child tomorrow share dream take magic moment glory night child tomorrow dream away wind change
Smoke on the Water,"Deep Purple
",came montreux lake geneva shoreline make record mobile much time frank zappa mother best place around stupid flare gun burned place ground smoke water fire sky smoke water guy great burned gambling house died awful sound funky claude running pulling kid ground find another place swiss time running seemed would lose race smoke water fire sky smoke water burn ended grand hotel empty cold bare rolling truck stone thing outside huh making music red light old bed made place sweat matter get know know never forget smoke water fire sky smoke water hear anything one time smoke water hey
Bohemian Rhapsody,Queen,real life fantasy caught landside escape reality open eye look sky see poor boy need sympathy easy come easy go little high little low way wind blow really matter mamaaa killed man put gun head pulled trigger dead mamaaa life begun gone thrown away mama oooh mean make cry back time tomorrow carry carry nothing really matter late time come sends shiver spine body aching time goodbye everybody got go gotta leave behind face truth mama oooh want die sometimes wish never born see little silhouetto man scaramouch scaramouch fandango thunderbolt lightning frightening galileo galileo galileo galileo galileo figaro magnificoo poor boy nobody love poor boy poor family spare life monstrosity easy come easy go let go bismillah let go let go bismillah let go let go bismillah let go let go let go let go never never let go let go never let go let go ah mama mia mama mia mama mia let go beelzebub devil put aside meee think stop spit eye think love leave die baby baby gotta get gotta get right outta nothing really matter anyone see nothing really matter nothing really matter way wind blow
Nothing Else Matters,Metallica,close matter far much heart forever trusting nothing else matter never opened way life live way word say nothing else matter trust seek find every day u something new open mind different view nothing else matter never cared never cared know know close matter far much heart forever trusting nothing else matter never cared never cared know know never opened way life live way word say nothing else matter trust seek find every day u something new open mind different view nothing else matter never cared say never cared game play never cared never cared know know close matter far much heart forever trusting nothing else matter
Wish You Were Here,Pink Floyd,think tell heaven hell blue sky pain tell green field cold steel rail smile veil think tell get trade hero ghost hot ash tree hot air cool breeze cold comfort change exchange walk part war leading role cage wish wish two lost soul swimming fish bowl year year running old ground found old fear wish
Better Be Home Soon,"Crowded House
",somewhere deep inside something got hold pushing aside see stretch forever know right first time life tell better home soon stripping back coat lie deception back nothingness like week desert know right first time life tell better home soon say say nothing wrong cause get back home maybe gone would cause pain end could start depend know right first time life tell better home soon tell better home soon
Imagine Dragons,Demons,day cold card fold saint see made gold dream fail one hail worst blood run stale wanna hide truth wanna shelter beast inside nowhere hide matter breed still made greed kingdom come kingdom come feel heat look eye demon hide demon hide get close dark inside demon hide demon hide curtain call last light fade sinner crawl dug grave masquerade come calling mess made wanna let hell bound though wanna hide truth matter breed still made greed kingdom come kingdom come feel heat look eye demon hide demon hide get close dark inside demon hide demon hide say make say fate woven soul need let go eye shine bright wanna save light escape unless show feel heat look eye demon hide demon hide get close dark inside demon hide demon hide
Heat Waves,Glass Animals,road shimmer wiggling vision heat heat wave swimming mirror road shimmer wiggling vision heat heat wave swimming sometimes think late night middle june heat wave faking make happier sometimes think late night middle june heat wave faking make happier usually put something tv never think today see reflection clearly hollywood laying screen need better life need something never give fake water across road gone night come sometimes think late night middle june heat wave faking make happier fight breathe say something loving got let go better someone new wanna alone know hurt look broken cry one say goodbye sometimes think late night middle june heat wave faking make happier sometimes think late night middle june heat wave faking make happier wonder dreaming sleep smile comfortable wish could give look perfectly un sad sometimes think late night middle june heat wave faking heat wave faking sometimes think late night middle june heat wave faking make happier sometimes think late night middle june heat wave faking make happier road shimmer wiggling vision heat heat wave swimming mirror road shimmer wiggling vision heat heat wave swimming mirror
God's Plan,Drake,wishin wishin wishin wishin wishin yuh movin calm start trouble tryna keep peaceful struggle pull cuddle know like lovin wanna die miss yes see thing wishin hope got brother outlive gon tell story shit different god plan god plan hold back sometimes yuh feel good sometimes ayy finessed weston road ayy nessed might go g wait go hard southside g yuh way make sure north side eat still bad thing lot bad thing wishin wishin wishin wishin wishin bad thing lot bad thing wishin wishin wishin wishin wishin yuh ayy ayy ayy say love tell partly love bed momma sorry fifty dub even got tatted bring crasher party know turn dog without oli magine never met broskis god plan god plan ayy ayy someone watchin shit close yep close since scarlett road ayy road ayy might go g wait go hard southside g ayy way make sure north side eat yuh still bad thing lot bad thing wishin wishin wishin wishin wishin bad thing lot bad thing wishin wishin wishin wishin wishin
Papa Don't Preach,Madonna,papa know going upset cause always little girl know baby always taught right wrong need help daddy please strong may young heart know saying one warned one said could without awful mess mean maybe please papa preach trouble deep papa preach losing sleep made mind keeping baby hm gonna keep baby hm say going marry raise little family maybe right sacrifice friend keep telling give saying young oughta live need right good advice please papa preach trouble deep papa preach losing sleep made mind keeping baby hm gonna keep baby daddy daddy could see good treating give u blessing right cause love love love please papa preach trouble deep papa preach losing sleep made mind keeping baby hm gonna keep baby papa preach trouble deep papa preach losing sleep papa preach trouble deep papa preach losing sleep papa preach gonna keep baby papa preach papa preach stop loving daddy papa preach know keeping baby
S.O.S,ABBA,happy day seem hard find try reach closed mind whatever happened love wish understood used nice used good near darling hear love gave nothing else save gone even try go gone though try carry seemed far away though standing near made feel alive something died fear really tried make wish understood happened love used good near darling hear love gave nothing else save gone even try go gone though try carry near darling hear love gave nothing else save gone even try go gone though try carry gone even try go gone though try carry
Thinking Out Loud,Ed Sheeran,leg work like used sweep foot mouth still remember taste love eye still smile cheek darling loving til baby heart could still fall hard thinking bout people fall love mysterious way maybe touch hand fall love every single day wanna tell honey take loving arm kiss light thousand star place head beating heart thinking loud maybe found love right hair gone memory fade crowd remember name hand play string way mm know still love cause honey soul never grow old evergreen baby smile forever mind memory thinking bout people fall love mysterious way maybe part plan keep making mistake hoping understand baby take loving arm kiss light thousand star place head beating heart thinking loud maybe found love right baby take loving arm kiss light thousand star darling place head beating heart thinking loud maybe found love right baby found love right maybe found love right
Believer,Imagine Dragons,first thing first say word inside head fired tired way thing way thing second thing second tell think could one sail master sea master sea broken young age taking sulking mass writing poem look took shook feeling singing heartache pain taking message vein speaking lesson brain seeing beauty pain made made believer believer pain break build believer believer pain let bullet fly let rain life love drive came pain made made believer believer first thing first imagine happen weezy dragon link dragon gon get ratchet need imaginin happenin second thing second reckon immaculate sound accurate know strength come come without strategy know sweet come without cavity know passage come traffic start basement end attic third thing third whoever call simply count let get mathematic huh believer get unicorn zebra wear uniform like tuxedo dragon hold breath need breather love m cita son leader know bloomin come without rain know losin come without shame know beauty come without hurt hol hol last thing last know tunechi come without wayne know losin come without game know glory come without come without pain made made believer believer pain break build believer believer pain let bullet fly let rain life love drive came pain made made believer believer last thing last grace fire flame face future blood vein blood vein never ever lived ebbing flowing inhibited limited til broke open rained rained like pain made made believer believer pain break build believer believer pain let bullet fly let rain life love drive came pain made made believer believer
Sunflower,Post Malone ve Swae Lee,ayy ayy ayy ayy ayy ayy needle say keep check bad bad nevertheless callin quits baby wreck wreck crash place baby wreck wreck needle say keeping check bad bad nevertheless callin quits baby wreck crash place baby wreck thinkin bad way losin grip screamin face baby trip someone took big l know felt lookin sideways party tilt thing refuse wanna ride like cruise tryna lose left dust unless stuck ya sunflower think love would much left dust unless stuck ya sunflower sunflower every time leavin make easy wish could give reason every time walkin hear tellin turn around fightin trust back even gotta risk right know scared unknown known wanna alone alone know always come go go control left dust unless stuck ya sunflower think love would much left dust unless stuck ya sunflower sunflower
Someone You Loved,Lewis Capaldi,going time fear one save nothing really got way driving crazy need somebody heal somebody know somebody somebody hold easy say never guess kinda liked way numbed pain day bleeds nightfall get let guard pulled rug getting kinda used someone loved going time fear one turn nothing way loving got sleeping without need somebody know somebody heal somebody know feel easy say never guess kinda liked way helped escape day bleeds nightfall get let guard pulled rug getting kinda used someone loved tend close eye hurt sometimes fall arm safe sound til come back around day bleeds nightfall get let guard pulled rug getting kinda used someone loved day bleeds nightfall get let guard pulled rug getting kinda used someone loved let guard pulled rug getting kinda used someone loved
Don't Start Now,Dua Lipa,wanna see full crazy thinking bout way heartbreak change maybe look ended good already moved scary left wanna see dancing somebody wanna believe anything could stop show come start caring walk away know start caring guy tried hurt word goodbye though took time survive better side good already moved scary left wanna see dancing somebody wanna believe anything could stop show come start caring walk away know start caring bout bout come show start come left wanna see dancing somebody wanna believe anything could stop show show come come start caring bout walk away walk away know know start caring come show walk away walk away come show walk away walk away
Let Her Go,Passenger,well need light burning low miss sun start snow know love let go know high feeling low hate road missing home know love let go let go staring bottom glass hoping one day make dream last dream come slow go fast see close eye maybe one day understand everything touch surely dy need light burning low miss sun start snow know love let go know high feeling low hate road missing home know love let go staring ceiling dark old empty feeling heart cause love come slow go fast well see fall asleep never touch never keep cause loved much dived deep well need light burning low miss sun start snow know love let go know high feeling low hate road missing home know love let go let go mm let go uh uh well let go cause need light burning low miss sun start snow know love let go know high feeling low hate road missing home know love let go cause need light burning low miss sun start snow know love let go know high feeling low hate road missing home know love let go let go
Counting Stars,OneRepublic,lately losing sleep dreaming thing could baby praying hard said counting dollar counting star counting star see life like swinging vine swing heart across line face flashing sign seek ye shall find old old young bold think world sold told feel something right wrong thing feel something wrong right thing lie lie lie everything kill make feel alive lately losing sleep dreaming thing could baby praying hard said counting dollar counting star lately losing sleep dreaming thing could baby praying hard said counting dollar counting star feel love feel burn river every turn hope four letter word make money watch burn old old young bold think world sold told feel something wrong right thing lie lie lie everything drowns make wanna fly lately losing sleep dreaming thing could baby praying hard said counting dollar counting star lately losing sleep dreaming thing could baby praying hard said counting dollar counting star take money watch burn sink river lesson learned take money watch burn sink river lesson learned take money watch burn sink river lesson learned take money watch burn sink river lesson learned everything kill make feel alive lately losing sleep dreaming thing could baby praying hard said counting dollar counting star lately losing sleep dreaming thing could baby praying hard said counting dollar counting star take money watch burn sink river lesson learned take money watch burn sink river lesson learned take money watch burn sink river lesson learned take money watch burn sink river lesson learned
Riptide,Vance Joy,scared dentist dark scared pretty girl starting conversation friend turning green magician assistant dream ah ah ahh ah ah come unstuck lady running riptide taken away dark side wanna left hand man love singing song got lump throat cause gonna sing word wrong movie think like guy decides quit job head new york city cowboy running living highest shelf ah ah ahh come unstuck lady running riptide taken away dark side wanna left hand man love singing song got lump throat cause gonna sing word wrong wanna wanna know gonna gonna stay gotta gotta know way swear destined screen closest thing michelle pfeiffer ever seen lady running riptide taken away dark side wanna left hand man love singing song got lump throat cause gonna sing word wrong lady running riptide taken away dark side wanna left hand man love singing song got lump throat cause gonna sing word wrong lady running riptide taken away dark side wanna left hand man love singing song got lump throat cause gonna sing word wrong got lump throat cause gonna sing word wrong
Faded,Alan Walker,shadow light feel u another start fade away afraid aim sight wanna see u alive fantasy imaginary atlantis sea sea another dream monster running wild inside faded faded lost faded shallow water never met needed letting go deeper dive eternal silence sea breathing alive bright faded light set heart fire atlantis sea sea another dream monster running wild inside faded faded lost faded
Memories,Maroon 5,one got cheer wish cause drink bring back memory everything toast one today toast one lost way cause drink bring back memory memory bring back memory bring back time remember know pain believed forever everything would stay heart feel like december somebody say name cause reach call know one day everybody hurt sometimes everybody hurt someday ayy ayy everything gon alright go raise glass say ayy one got cheer wish cause drink bring back memory everything toast one today toast one lost way cause drink bring back memory memory bring back memory bring back doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo memory bring back memory bring back time remember never felt lost felt hatred powerful stop heart feel like ember lighting dark carry torch ya know never drop everybody hurt sometimes everybody hurt someday ayy ayy everything gon alright go raise glass say ayy one got cheer wish cause drink bring back memory everything toast one today ayy toast one lost way cause drink bring back memory ayy memory bring back memory bring back doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo memory bring back memory bring back doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo memory bring back memory bring back doh doh memory bring back memory bring back
The Box,Roddy Ricch,pullin coupe lot told em fuck fuck swat bustin bell box hit lick box put stick box mmh pour whole damn seal get lazy got mojo deal trappin like sucked nigga soul gotta cash app told em wipe nigga nose say slatt slatt never sell soul back really wanna know back stash cruise city bulletproof cadillac skrrt cause know nigga bag gotta move smarter gotta move harder nigga try get water lay as son daughter draco dwayne carter lotta nigga playin ballin done whole arm rim vince carter know probably get key quarter shawty barely seen double c bought em got bitch looking like aaliyah model got pink slip whip key le compton get key city patek like sea forgive pullin coupe lot told em fuck fuck swat bustin bell box hit lick box put stick box mmh pour whole damn seal get lazy got mojo deal trappin like sucked nigga soul gotta cash app told em wipe nigga nose say slatt slatt never sell soul back really wanna know huh ha ha ha movin em steelo got blue pouch took forrest put wood mouth bitch wear shoe house private flyin never wanna fly take chance traffic suckin dick hand made rollie plain like landing strip president candidate done put hundred band zimmerman shit movin real gangsta pick crip shawty call crisco cause pop shit got mud nothin tell drug street wealthy pullin coupe lot told em fuck fuck swat bustin bell box hit lick box put stick box mmh pour whole damn seal get lazy got mojo deal trappin like sucked nigga soul gotta cash app told em wipe nigga nose say slatt slatt never sell soul back really wanna know
Wonderwall,Oasis,today gonna day gonna throw back somehow realised gotta believe anybody feel way backbeat word street fire heart sure heard never really doubt believe anybody feel way road walk winding light lead u blinding many thing would like say know maybe gonna one save wonderwall today gonna day never throw back somehow realised believe anybody feel way road lead winding light light way blinding many thing would like say know said maybe gonna one save wonderwall said maybe said maybe gonna one save wonderwall said maybe said maybe gonna one save save gonna one save save gonna one save save
Without Me,Halsey,found heart broke filled cup overflowed took far keep close keep close afraid leave said catch fall laugh fuck em got knee put right back foot could take advantage tell feel sittin feeling high far away hold know one put name sky ever get lonely thinking could live without thinking could live without baby one put know know thinking could live without live without baby one put know know gave love bout hundred try hundred try running demon mind took made em mine made em mine notice cause love blind said catch fall fall laugh fuck em got knee put right back foot take advantage tell feel sittin feeling high far away hold know one put name sky ever get lonely thinking could live without thinking could live without baby one put know know thinking could live without live without baby one put know say already know know go find tell feel woah tell feel sittin feeling high far away hold know one put name sky ever get lonely thinking could live without thinking could live without baby one put know know
Treat You Better,Shawn Mendes,lie know right tell see face say one want spending time wrong situation anytime want stop know treat better girl like deserves gentleman tell wasting time wasted cry instead know treat better better stop time second say like wanna give loving missing baby wake would everything need could different tell want cause know treat better girl like deserves gentleman tell wasting time wasted cry instead know treat better better better give sign take hand fine promise let know alone promise never let cause know treat better girl like deserves gentleman tell wasting time wasted cry instead know treat better better better better
Wake Me Up,Avicii,feeling way darkness guided beating heart tell journey end know start tell young understand say caught dream well life pas open eye well fine wake wiser older time finding know lost wake wiser older time finding know lost tried carrying weight world two hand hope get chance travel world plan wish could stay forever young afraid close eye life game made everyone love prize wake wiser older time finding know lost wake wiser older time finding know lost know lost know lost know lost know
Light My Fire,The Doors,know would untrue know would liar say girl get much higher come baby light fire come baby light fire try set night fire time hesitate time wallow mire try lose love become funeral pyre come baby light fire come baby light fire try set night fire time hesitate time wallow mire try lose love become funeral pyre come baby light fire come baby light fire try set night fire know would untrue know would liar say girl get much higher come baby light fire come baby light fire try set night fire try set night fire try set night fire try set night fire
The Phantoms,Made for This,walking edge knife waiting life feel vein feel blood know stop till good done gonna push harder gonna climb higher like miss made show world stronger prove em fighter help win made made made gonna find hold see king cause got crown try best step ring knock dead like thing gonna push harder gonna climb higher like miss made show world stronger prove em fighter help win made made help win try stop gonna push harder gonna climb higher like miss made show world stronger prove em fighter help win made gonna push harder gonna climb higher like miss made show world stronger prove em fighter help win cause made hey
Legendery,Welshly Arms,take look around taking page magazine looking answer ever since seventeen know truth weapon fight world ill intention new answer question many time learn lesson think got wrong got hold cause gonna legend gonna get attention scary legendary gonna legend gonna teach em lesson got feeling soul carry legendary came want anymore could never turn back got leave floor dreaming payoff struggle trade offs write truth heading way tell truth think made think got wrong got hold cause gonna legend gonna get attention scary legendary gonna legend gonna teach em lesson got feeling soul carry legendary eventually gonna know right make stand got win fight stand heat stay light might never make alive gotta live without compromise let everybody hear battle cry gonna legend gonna get attention scary legendary gonna legend gonna teach em lesson got feeling soul carry legendary hey ho ho legend mmmm legend
I’m a Wanted Man,Royal Deluxe,know turned loose shot sheriff slipped noose law never friend mine would kill keep time never ever trust kind wanted man got blood hand understand wanted man took pistol shot light started running middle night law never friend mine would kill keep time never ever trust kind wanted man got blood hand understand wanted man wanted man got blood hand understand wanted man ask change know always wanted man got blood hand understand wanted man wanted man got blood hand understand wanted man wanted man wanted man understand wanted man
Another Level,Oh The Larceny,standing street sun east calling beast tiger underneath starting believe world foot ready feast within reach within reach going way going blood rebel going way going another level another level another level loose running nothing could catch hustle juice hundred twenty proof blowing roof blowing roof got nothing left prove come going way going blood rebel going way going another level let go another level gotta get hand dirty another level chain breaker earth shaker rain maker another level chain breaker earth shaker rain maker another level chain breaker earth shaker rain maker another level chain breaker earth shaker rain maker another level going way going blood rebel going way going another level come another level let go let go let go another level another level let get another level
Down Under,Men at Work,fantastic next song coming soon five minute perhaps even longer song place come look australian audience yes thought much filthy two podium people audience song called anyone know song called called maybe know called called called think pretty good town call place big apple right make apple worm right anyway feel home people worm know reckon got tape together happening okay without ado show traveling fried kombi hippie trail head full zombie met strange lady made real nervous took gave breakfast said come land woman glow men plunder hear hear thunder better run better take cover buying bread man brussels six foot four full muscle said hey speak language buck smiled gave vegemite sandwich said come land beer flow men chunder hear hear thunder better better run better take cover get lying den bombay slack jaw much say said man trying tempt come land plenty said come land woman glow men plunder hear hear thunder better run better take cover living land woman glow men plunder hear hear thunder better run better take cover try cause living land woman glow men plunder hear hear thunder better run better take cover c mon living land woman glow men plunder hear hear thunder better run better take cover stop cause living land woman glow men plunder hear hear thunder better run better take cover living land woman glow men plunder hear hear thunder better run better take cover cause living land woman glow men plunder hear hear thunder better better run better take cover big hand big han play flute also cute hey best friend accepting
Wonderwall,"Oasis
",today gonna day gonna throw back somehow realised gotta believe anybody feel way backbeat word street fire heart sure heard never really doubt believe anybody feel way road walk winding light lead u blinding many thing would like say know maybe gonna one save wonderwall today gonna day never throw back somehow realised believe anybody feel way road lead winding light light way blinding many thing would like say know said maybe gonna one save wonderwall said maybe said maybe gonna one save wonderwall said maybe said maybe gonna one save save gonna one save save gonna one save save
What's Going On,Marvin Gaye,mother mother many cry brother brother brother far many dying know got find way bring lovin today father father need escalate see war answer love conquer hate know got find way bring lovin today picket line picket sign punish brutality talk see going going going going going going going going right baby right baby right mother mother everybody think wrong judge u simply cause hair long know got find way bring understanding today picket line picket sign punish brutality come talk see going going going going tell going going tell going going right baby right right baby right baby right
Khe Sanh,"Cold Chisel
",left heart sapper round khe sanh soul sold cigarette black market man vietnam cold turkey ocean silver city vet could understand long forgotten dockside guarantee v day hero nineteen seventhy three sailed sydney harbor saw old friend kiss lined home lucky land like many time life empty till found chosen one leg often open mind always closed heart held fast suburban chain legal pad yellow hour long pay packet lean telex writer clattered gunships car park make jumpy never stopped dream growing need speed novocaine worked across country end end tried find place settle mixed life could mend held job oil rig flying chopper could nightlife nearly drove round bend traveled round world year year one found aimless one year worse wear back south east asia answer sure drifting north check thing yes well last plane sydney almost gone seven flying hour landing hong kong nothing like kiss jaded chinese princess gonna hit hong kong mattress night long well last plane sydney almost gone know last plane sydney almost gone really got worried goin nowhere hurry last plane sydney almost gone well last plane sydney almost gone know last plane sydney almost gone really got worried goin nowhere hurry know last plane sydney almost gone
Stayin' Alive,Bee Gees,well tell way use walk woman man time talk music loud woman warm kicked around since born alright okay may look way try understand new york time effect man whether brother whether mother stayin alive stayin alive feel city breakin everybody shakin stayin alive stayin alive ah ha ha ha stayin alive stayin alive ah ha ha ha stayin alive walk well get low get high get either really try got wing heaven shoe dancin man lose know alright okay live see another day try understand new york time effect man whether brother whether mother stayin alive stayin alive feel city breakin everybody shakin stayin alive stayin alive ah ha ha ha stayin alive stayin alive ah ha ha ha stayin alive life goin nowhere somebody help somebody help life goin nowhere somebody help stayin alive well tell way use walk woman man time talk music loud woman warm kicked around since born right okay may look way try understand new york time effect man whether brother whether mother stayin alive stayin alive feel city breakin everybody shakin stayin alive stayin alive ah ha ha ha stayin alive stayin alive ah ha ha ha stayin alive hey life goin nowhere somebody help somebody help life goin nowhere somebody help stayin alive life goin nowhere somebody help somebody help ah ah ah life goin nowhere somebody help stayin alive life goin nowhere somebody help somebody help ah ah ah ay life goin nowhere somebody help stayin alive life goin nowhere somebody help somebody help life goin nowhere somebody help stayin alive
Single Ladies (Put a Ring on It),Beyoncé,single lady single lady single lady single lady single lady single lady single lady put hand club broke little thing decided dip wanna trip cause another brother noticed pay attention cried tear three good year ya mad cause liked put ring liked shoulda put ring mad see want liked shoulda put ring ohh ohh liked put ring liked shoulda put ring mad see want liked shoulda put ring got gloss lip man hip got tighter dereon jean acting drink cup care le think need permission mention pay attention cause turn gonna learn really feel like miss cause liked put ring liked shoulda put ring mad see want liked shoulda put ring liked put ring liked shoulda put ring mad see want liked shoulda put ring treat thing world kind girl love prefer deserve man make take delivers destiny infinity beyond pull arm say one alone like ghost ill gone single lady single lady single lady single lady single lady single lady single lady put hand cause liked put ring liked shoulda put ring mad see want liked shoulda put ring liked put ring liked shoulda put ring mad see want liked shoulda put ring
